Labs waren opmerkelijk voor Cr 1,7 (basislijn 0,5 volgens oude gegevens) en lactaat 2,4. 	 De patiënt heeft een verhoogde Cr 	 entailment 
Labs waren opmerkelijk voor Cr 1,7 (basislijn 0,5 volgens oude gegevens) en lactaat 2,4. 	 Patiënt heeft normale Cr 	 contradiction 
Labs waren opmerkelijk voor Cr 1,7 (basislijn 0,5 volgens oude gegevens) en lactaat 2,4. 	 De patiënt heeft een verhoogd BUN 	 neutral 
Nystagmus en twiching van R arm werd waargenomen. 	 De patiënt had een abnormaal neuro onderzoek. 	 entailment 
Nystagmus en twiching van R arm werd waargenomen. 	 De patiënt heeft een normaal neuro onderzoek. 	 contradiction 
Nystagmus en twiching van R arm werd waargenomen. 	 De patiënt heeft een acute beroerte. 	 neutral 
De patiënt werd door zijn huisarts gezien nadat hij een week lang had geklaagd over dyspneu bij inspanning en benauwdheid in de kaak. 	 De patiënt heeft symptomen van een CHF exacerbatie. 	 entailment 
De patiënt werd door zijn huisarts gezien nadat hij een week lang had geklaagd over dyspneu bij inspanning en benauwdheid in de kaak. 	 De patiënt heeft geen symptomen. 	 contradiction 
De patiënt werd door zijn huisarts gezien nadat hij een week lang had geklaagd over dyspneu bij inspanning en benauwdheid in de kaak. 	 De patiënt heeft een coronaire hartziekte. 	 neutral 
In het [**Ziekenhuis 1456**] ziekenhuis had de patiënt pijn op de borst van 10 op 10 en kreeg hij nitropaste twee duim, drie sublinguale nitroglycerines, morfine 4 mg intraveneus, Lopressor 5 mg intraveneus. 	 De patiënt wordt behandeld met medicijnen tegen acuut coronair syndroom. 	 entailment 
In het [**Ziekenhuis 1456**] ziekenhuis had de patiënt pijn op de borst van 10 op 10 en kreeg hij nitropaste twee duim, drie sublinguale nitroglycerines, morfine 4 mg intraveneus, Lopressor 5 mg intraveneus. 	 De patiënt is asymptomatisch. 	 contradiction 
In het [**Ziekenhuis 1456**] ziekenhuis had de patiënt pijn op de borst van 10 op 10 en kreeg hij nitropaste twee duim, drie sublinguale nitroglycerines, morfine 4 mg intraveneus, Lopressor 5 mg intraveneus. 	 De patiënt heeft een myocardiaal infarct. 	 neutral 
Geschiedenis van nefrolithiasis met hematurie 5. 	 de patiënt heeft een voorgeschiedenis van nierstenen 	 entailment 
Geschiedenis van nefrolithiasis met hematurie 5. 	 de patiënt heeft geen voorgeschiedenis van nierstenen 	 contradiction 
Geschiedenis van nefrolithiasis met hematurie 5. 	 patiënt heeft pijn in de flank 	 neutral 
Per patiënt, nam hij meer dan 100 pillen Lisinopril, Nifedipine, en Atenolol gisterenavond. 	 De patiënt heeft een overdosis medicijnen genomen. 	 entailment 
Per patiënt, nam hij meer dan 100 pillen Lisinopril, Nifedipine, en Atenolol gisterenavond. 	 De patiënt nam geen extra medicatie. 	 contradiction 
Per patiënt, nam hij meer dan 100 pillen Lisinopril, Nifedipine, en Atenolol gisterenavond. 	 De patiënt is depressief. 	 neutral 
Er werd een tijdelijke pacingsdraad geplaatst op [**11-7**] voor aanhoudend volledig hartblok, maar volgens het rapport was de patiënt niet afhankelijk van een pacer. 	 De patiënt heeft een hartkwaal 	 entailment 
Er werd een tijdelijke pacingsdraad geplaatst op [**11-7**] voor aanhoudend volledig hartblok, maar volgens het rapport was de patiënt niet afhankelijk van een pacer. 	 De patiënt heeft een normale hartfunctie 	 contradiction 
Er werd een tijdelijke pacingsdraad geplaatst op [**11-7**] voor aanhoudend volledig hartblok, maar volgens het rapport was de patiënt niet afhankelijk van een pacer. 	 De patiënt heeft een geschiedenis van hypertensie 	 neutral 
Op [**8-19**] had hij eindelijk zijn hartkatheterisatie, die geen stroombeperkende kransslagaderaandoening aantoonde, maar hij had wel een ascenderend aorta-aneurysma van ongeveer zes cm. 	 Hartkatheterisatie toonde geen blokkade 	 entailment 
Op [**8-19**] had hij eindelijk zijn hartkatheterisatie, die geen stroombeperkende kransslagaderaandoening aantoonde, maar hij had wel een ascenderend aorta-aneurysma van ongeveer zes cm. 	 Hartkatheterisatie toonde een stroombeperkende blokkade 	 contradiction 
Op [**8-19**] had hij eindelijk zijn hartkatheterisatie, die geen stroombeperkende kransslagaderaandoening aantoonde, maar hij had wel een ascenderend aorta-aneurysma van ongeveer zes cm. 	 De patiënt heeft een geschiedenis van hypertensie en roken 	 neutral 
In het [**ziekenhuis **] werd hij behandeld met vanco/flagyl voor een vermoedelijke aspiratiepneumonie. 	 De patiënt heeft vermoedelijk een aspiratie longontsteking 	 entailment 
In het [**ziekenhuis **] werd hij behandeld met vanco/flagyl voor een vermoedelijke aspiratiepneumonie. 	 de patiënt krijgt geen antibiotica 	 contradiction 
In het [**ziekenhuis **] werd hij behandeld met vanco/flagyl voor een vermoedelijke aspiratiepneumonie. 	 de patiënt had een beroerte 	 neutral 
AROM bij de bevalling leverde helder vruchtwater op. 	 Patiënt heeft een baby ter wereld gebracht 	 entailment 
AROM bij de bevalling leverde helder vruchtwater op. 	 De patiënt is niet zwanger geweest 	 contradiction 
AROM bij de bevalling leverde helder vruchtwater op. 	 Patiënt heeft geen PMH 	 neutral 
Links dominant, licht linker hoofdkanaal, 50% linker voorste dalend en minimale luminale onregelmatigheden. 	 Er is 50% blokkade in de linker anterior descending coronaire slagader 	 entailment 
Links dominant, licht linker hoofdkanaal, 50% linker voorste dalend en minimale luminale onregelmatigheden. 	 Er is geen blokkade in de kransslagaders 	 contradiction 
Links dominant, licht linker hoofdkanaal, 50% linker voorste dalend en minimale luminale onregelmatigheden. 	 De patiënt heeft een geschiedenis van hoge cholesterol en hoge bloeddruk 	 neutral 
